gameId	code	displayName	category	family	regionScope	provinceCode	cityCode	version	enabled	sourceModule
1	hzmj	HZMJ	MAHJONG	mahjong:standard	NATIONAL			1.0.0	1	HZMJ
2	sss	SSS	POKER	poker:generic-card-round	NATIONAL			1.0.0	1	SSS
3	lymj	LYMJ	MAHJONG	mahjong:standard	PROVINCE	fujian		1.0.0	1	LYMJ
4	xmmj	XMMJ	MAHJONG	mahjong:standard	PROVINCE	fujian		1.0.0	0	XMMJ
5	nn	NN	POKER	poker:betting	NATIONAL			1.0.0	0	NN
6	fzmj	FZMJ	MAHJONG	mahjong:standard	PROVINCE	fujian		1.0.0	1	FZMJ
7	qzmj	QZMJ	MAHJONG	mahjong:standard	PROVINCE	fujian		1.0.0	1	QZMJ
8	CD201	成都跑得快	POKER	poker:pao-de-kuai	CITY	sichuan	chengdu	1.0.0	1	CD201
11	ptmj	PTMJ	MAHJONG	mahjong:xue-zhan	PROVINCE	fujian		1.0.0	0	PTMJ
12	ndmj	NDMJ	MAHJONG	mahjong:standard	PROVINCE	fujian		1.0.0	1	NDMJ
13	smmj	SMMJ	MAHJONG	mahjong:standard	PROVINCE	fujian		1.0.0	0	SMMJ
14	npmj	NPMJ	MAHJONG	mahjong:lai-zi	PROVINCE	fujian		1.0.0	0	NPMJ
15	xymj	XYMJ	MAHJONG	mahjong:standard	PROVINCE	fujian		1.0.0	1	XYMJ
16	ssmj	SSMJ	MAHJONG	mahjong:standard	PROVINCE	fujian		1.0.0	1	SSMJ
17	namj	NAMJ	MAHJONG	mahjong:standard	PROVINCE	fujian		1.0.0	1	NAMJ
18	pt13mj	PT13MJ	MAHJONG	mahjong:standard	PROVINCE	fujian		1.0.0	0	PT13MJ
19	sg	SG	POKER	poker:betting	NATIONAL			1.0.0	0	SG
20	ygmj	YGMJ	MAHJONG	mahjong:standard	PROVINCE	jiangxi		1.0.0	1	YGMJ
21	yglfl	YGLFL	POKER	poker:510k	PROVINCE	jiangxi		1.0.0	0	YGLFL
22	npgzmj	NPGZMJ	MAHJONG	mahjong:lai-zi	PROVINCE	fujian		1.0.0	0	NPGZMJ
23	zjjhmj	ZJJHMJ	MAHJONG	mahjong:standard	PROVINCE	zhejiang		1.0.0	0	ZJJHMJ
24	hbyxmj	HBYXMJ	MAHJONG	mahjong:lai-zi	PROVINCE	hubei		1.0.0	1	HBYXMJ
25	srmj	SRMJ	MAHJONG	mahjong:lai-zi	PROVINCE	jiangxi		1.0.0	0	SRMJ
26	ysdz	YSDZ	POKER	poker:510k	PROVINCE	jiangxi		1.0.0	0	YSDZ
27	gdy	GDY	POKER	poker:generic-card-round	NATIONAL			1.0.0	1	GDY
28	qdmj	QDMJ	MAHJONG	mahjong:lai-zi	PROVINCE	shandong		1.0.0	0	QDMJ
29	ytmj	YTMJ	MAHJONG	mahjong:standard	PROVINCE	henan		1.0.0	1	YTMJ
30	ykmj	YKMJ	MAHJONG	mahjong:tui-dao-hu	PROVINCE	liaoning		1.0.0	1	YKMJ
31	ddz	DDZ	POKER	poker:landlord	NATIONAL			1.0.0	1	DDZ
32	jmhhmj	JMHHMJ	MAHJONG	mahjong:lai-zi	PROVINCE	hubei		1.0.0	1	JMHHMJ
33	hamj	HAMJ	MAHJONG	mahjong:standard	PROVINCE	jiangsu		1.0.0	1	HAMJ
34	xyzb	XYZB	POKER	poker:510k	PROVINCE	fujian		1.0.0	0	XYZB
35	pxcn	PXCN	POKER	poker:climbing	PROVINCE	fujian		1.0.0	1	PXCN
36	zjmj	ZJMJ	MAHJONG	mahjong:lai-zi	PROVINCE	jiangsu		1.0.0	1	ZJMJ
37	dymj	DYMJ	MAHJONG	mahjong:lai-zi	PROVINCE	jiangsu		1.0.0	1	DYMJ
38	symj	SYMJ	MAHJONG	mahjong:lai-zi	PROVINCE	jiangsu		1.0.0	0	SYMJ
39	gd	GD	POKER	poker:climbing	PROVINCE	jiangxi		1.0.0	0	GD
40	csmj	CSMJ	MAHJONG	mahjong:standard	PROVINCE	jiangsu		1.0.0	0	CSMJ
41	wzmj	WZMJ	MAHJONG	mahjong:standard	PROVINCE	jiangxi		1.0.0	1	WZMJ
42	wsk	WSK	POKER	poker:510k	PROVINCE	jiangsu		1.0.0	0	WSK
43	ycmj	YCMJ	MAHJONG	mahjong:standard	PROVINCE	jiangxi		1.0.0	1	YCMJ
44	nhmj	NHMJ	MAHJONG	mahjong:standard	PROVINCE	fujian		1.0.0	1	NHMJ
45	lpmj	LPMJ	MAHJONG	mahjong:lai-zi	PROVINCE	jiangxi		1.0.0	1	LPMJ
46	bdmj	BDMJ	MAHJONG	mahjong:tui-dao-hu	PROVINCE	hebei		1.0.0	1	BDMJ
47	yxmj	YXMJ	MAHJONG	mahjong:standard	PROVINCE	jiangsu		1.0.0	1	YXMJ
48	tzmj	TZMJ	MAHJONG	mahjong:standard	PROVINCE	shandong		1.0.0	1	TZMJ
49	sgmj	SGMJ	MAHJONG	mahjong:standard	PROVINCE	guangdong		1.0.0	1	SGMJ
50	yzmj	YZMJ	MAHJONG	mahjong:lai-zi	PROVINCE	jiangsu		1.0.0	0	YZMJ
51	sj	SJ	POKER	poker:510k	PROVINCE	jiangsu		1.0.0	0	SJ
52	bw	BW	POKER	poker:climbing	PROVINCE	jiangxi		1.0.0	1	BW
53	jnmj	JNMJ	MAHJONG	mahjong:standard	PROVINCE	shandong		1.0.0	1	JNMJ
54	jsyzmj	JSYZMJ	MAHJONG	mahjong:standard	PROVINCE	jiangsu		1.0.0	1	JSYZMJ
55	tdhmj	TDHMJ	MAHJONG	mahjong:standard	PROVINCE	hebei		1.0.0	1	TDHMJ
56	xtmj	XTMJ	MAHJONG	mahjong:standard	PROVINCE	hebei		1.0.0	0	XTMJ
57	zpmj	ZPMJ	MAHJONG	mahjong:standard	PROVINCE	fujian		1.0.0	1	ZPMJ
58	chmj	CHMJ	MAHJONG	mahjong:standard	PROVINCE	anhui		1.0.0	1	CHMJ
59	hbmj	HBMJ	MAHJONG	mahjong:standard	PROVINCE	henan		1.0.0	1	HBMJ
61	wl	WL	POKER	poker:climbing	PROVINCE	jiangxi		1.0.0	1	WL
65	bjpk	BJPK	POKER	poker:compare-hand	PROVINCE	jiangsu		1.0.0	0	BJPK
66	xlqmj	XLQMJ	MAHJONG	mahjong:standard	PROVINCE	jiangsu		1.0.0	1	XLQMJ
67	fdmj	FDMJ	MAHJONG	mahjong:standard	PROVINCE	fujian		1.0.0	1	FDMJ
68	fddz	FDDZ	POKER	poker:climbing	PROVINCE	fujian		1.0.0	1	FDDZ
69	yxls	YXLS	POKER	poker:generic-card-round	PROVINCE	jiangsu		1.0.0	1	YXLS
70	wxmj	WXMJ	MAHJONG	mahjong:standard	PROVINCE	jiangsu		1.0.0	0	WXMJ
71	jymj	JYMJ	MAHJONG	mahjong:lai-zi	PROVINCE	jiangsu		1.0.0	0	JYMJ
72	zjpls	ZJPLS	POKER	poker:generic-card-round	PROVINCE	jiangsu		1.0.0	1	ZJPLS
73	pxzzmj	PXZZMJ	MAHJONG	mahjong:lai-zi	PROVINCE	jiangxi		1.0.0	1	PXZZMJ
74	px6gt	PX6GT	POKER	poker:510k	PROVINCE	jiangxi		1.0.0	1	PX6GT
75	px3gt	PX3GT	POKER	poker:510k	PROVINCE	jiangxi		1.0.0	1	PX3GT
76	px258mj	PX258MJ	MAHJONG	mahjong:standard	PROVINCE	jiangxi		1.0.0	1	PX258MJ
77	yxtdh	YXTDH	MAHJONG	mahjong:lai-zi	PROVINCE	jiangsu		1.0.0	1	YXTDH
78	aypdk	AYPDK	POKER	poker:pao-de-kuai	PROVINCE	sichuan		1.0.0	1	AYPDK
80	aydss	AYDSS	LONG_CARD	long-card:regional	PROVINCE	sichuan		1.0.0	1	AYDSS
81	aymj	AYMJ	MAHJONG	mahjong:xue-zhan	PROVINCE	sichuan		1.0.0	1	AYMJ
82	wnmj	WNMJ	MAHJONG	mahjong:standard	PROVINCE	jiangxi		1.0.0	1	WNMJ
83	wnyh	WNYH	MAHJONG	mahjong:standard	PROVINCE	jiangxi		1.0.0	1	WNYH
84	wnpdk	WNPDK	POKER	poker:pao-de-kuai	PROVINCE	jiangxi		1.0.0	1	WNPDK
85	fqpls	FQPLS	POKER	poker:betting	PROVINCE	fujian		1.0.0	1	FQPLS
86	fqsbp	FQSBP	POKER	poker:betting	PROVINCE	fujian		1.0.0	0	FQSBP
87	dzpk	DZPK	POKER	poker:compare-hand	PROVINCE	fujian		1.0.0	0	DZPK
88	dx	DX	POKER	poker:compare-hand	PROVINCE	fujian		1.0.0	1	DX
89	hbpdk	HBPDK	POKER	poker:pao-de-kuai	PROVINCE	henan		1.0.0	1	HBPDK
90	jsxymj	JSXYMJ	MAHJONG	mahjong:tui-dao-hu	PROVINCE	jiangsu		1.0.0	0	JSXYMJ
91	pzmj	PZMJ	MAHJONG	mahjong:standard	PROVINCE	jiangsu		1.0.0	0	PZMJ
92	pxmj	PXMJ	MAHJONG	mahjong:tui-dao-hu	PROVINCE	jiangxi		1.0.0	1	PXMJ
93	jssnmj	JSSNMJ	MAHJONG	mahjong:lai-zi	PROVINCE	jiangsu		1.0.0	1	JSSNMJ
94	zjgmj	ZJGMJ	MAHJONG	mahjong:standard	PROVINCE	jiangsu		1.0.0	1	ZJGMJ
95	ksmj	KSMJ	MAHJONG	mahjong:standard	PROVINCE	jiangsu		1.0.0	1	KSMJ
96	bdyxmj	BDYXMJ	MAHJONG	mahjong:lai-zi	PROVINCE	hebei		1.0.0	1	BDYXMJ
97	hnxymj	HNXYMJ	MAHJONG	mahjong:standard	PROVINCE	henan		1.0.0	1	HNXYMJ
98	tcmj	TCMJ	MAHJONG	mahjong:lai-zi	PROVINCE	jiangsu		1.0.0	1	TCMJ
99	pbyhmj	PBYHMJ	MAHJONG	mahjong:lai-zi	PROVINCE	jiangxi		1.0.0	1	PBYHMJ
100	yhzmj	YHZMJ	MAHJONG	mahjong:lai-zi	PROVINCE	jiangxi		1.0.0	1	YHZMJ
101	pnyhmj	PNYHMJ	MAHJONG	mahjong:standard	PROVINCE	jiangxi		1.0.0	1	PNYHMJ
102	sdfjmj	SDFJMJ	MAHJONG	mahjong:lai-zi	PROVINCE	jiangxi		1.0.0	1	SDFJMJ
103	yxpdk	YXPDK	POKER	poker:pao-de-kuai	PROVINCE	jiangsu		1.0.0	1	YXPDK
104	pypp	PYPP	POKER	poker:climbing	PROVINCE	jiangxi		1.0.0	1	PYPP
105	pyzhw	PYZHW	POKER	poker:trick-taking	PROVINCE	jiangxi		1.0.0	1	PYZHW
107	zjqzmj	ZJQZMJ	MAHJONG	mahjong:lai-zi	PROVINCE	zhejiang		1.0.0	1	ZJQZMJ
109	lpts	LPTS	POKER	poker:510k	PROVINCE	jiangxi		1.0.0	0	LPTS
110	lppdk	LPPDK	POKER	poker:pao-de-kuai	PROVINCE	jiangxi		1.0.0	1	LPPDK
111	jxfzmj	JXFZMJ	MAHJONG	mahjong:standard	PROVINCE	jiangxi		1.0.0	1	JXFZMJ
112	pypdk	PYPDK	POKER	poker:pao-de-kuai	PROVINCE	jiangxi		1.0.0	1	PYPDK
113	hncsmj	HNCSMJ	MAHJONG	mahjong:standard	PROVINCE	hunan		1.0.0	0	HNCSMJ
114	dle	DLE	POKER	poker:climbing	PROVINCE	taiwan		1.0.0	1	DLE
115	pxpdk	PXPDK	POKER	poker:pao-de-kuai	PROVINCE	jiangxi		1.0.0	1	PXPDK
